title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
"Chung cư võng thị - tây hồ, cực đẹp, view hồ tây","Võng Thị, Quận Tây Hồ, Hà Nội",48,1100.0,2,1,,,,,,3679827
Chung cư mini ngõ chợ khâm thiên chỉ từ 550 triệu/căn đủ đồ,"Khâm Thiên, Quận Đống Đa, Hà Nội",35,780,1,1,,,,,,3682250
Chung cư mini dịch vọng hậu full nội thất 600 đến 1 tỷ /căn,"Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",35,600,1,1,,,,,,3534789
Chung cư mini dịch vọng hậu nội thất cao cấp chỉ từ 800 tr,"Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",43,800,2,1,,,,,,3536945
Chung cư mini kim mã full vào ở luôn tặng ngay bộ nội thất,"Kim Mã, Quận Ba Đình, Hà Nội",32,630,1,1,5,,3,,,3641471
"Chung cư mini trích sài - văn cao full nội thất view hồ tây, gần mặt đường","Đường ven Hồ Tây, Quận Tây Hồ, Hà Nội",32,650,1,1,,,,,,3922535
Chung cư mini đội cấn chỉ từ 950 triệu căn hộ 2 phòng ngủ,"Đội Cấn, Quận Ba Đình,",48,950,,,,,,,,2623702
Bán gấp căn hộ chung cư mini sơn tây cách mặt đường 10m,"Quận Ba Đình, Hà Nội",48,1200.0,2,1,,,,,,3447487
Chung cư mini hào nam full nội thất cách mặt đường 20m,"Hào Nam, Quận Đống Đa, Hà Nội",42,840,2,1,,,,,,3707042
Mở bán chung cư mini nguyễn văn cừ - long biên chỉ từ 650 triệu full nội thất,"Nguyễn Văn Cừ, Quận Long Biên, Hà Nội",42,650,,,,,,,,3937981
Chung cư mini sơn tây kim mã cách mặt phố 20m đủ nội thất,"Sơn Tây, Quận Ba Đình, Hà Nội",45,900,2,1,,,,,,3490225
"Chung cư mini lạc long quân - võng thị - trích sài view hồ tây, ô tô đỗ cửa","Đường ven Hồ Tây, Quận Tây Hồ, Hà Nội",45,850,2,1,,,,,,3922138
Chung cư mini xuân đỉnh công viên hòa bình ngõ 2 ô tô chánh nhau,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",45,600,2,1,,,,,,3821260
Chung cư mini nguyễn khuyến - trần quý cáp full nội thất cách phố cổ chỉ vài bướ,"Nguyễn Khuyến, Phường Văn Miếu, Quận Đống Đa, Hà Nội",45,580,2,1,,,,,,3953146
Chung cư mini tôn đức thắng vị trí đắc địa nội thất cao cấp,"Quận Đống Đa, Hà Nội",33,560,1,1,,,,,,3471820
"Chung cư mini trần khát chân gần đh bách khoa, full nội thất ở ngay","Trần Khát Chân, Quận Hai Bà Trưng, Hà Nội",42,650,2,1,,,,,,3819499
Chung cư mini hồ tùng mậu - xuân thủy chỉ hơn 500 triệu/căn,"Hồ Tùng Mậu, Quận Cầu Giấy, Hà Nội",31,560,1,1,,,,,,3862664
Chủ đầu tư mở bán chung cư mini nguyễn văn huyên - cv nghĩa đô,"Nguyễn Văn Huyên, Quận Cầu Giấy, Hà Nội",45,600,2,1,,,,,,3769396
Chung cư mini hồ tùng mậu - xuân thủy chỉ hơn 500 triệu/căn,"Hồ Tùng Mậu, Quận Cầu Giấy, Hà Nội",31,560,1,1,,,,,,3862664
"Chung cư mini trần khát chân gần đh bách khoa, full nội thất ở ngay","Trần Khát Chân, Quận Hai Bà Trưng, Hà Nội",42,650,2,1,,,,,,3819499
Mở bán chung cư mini nguyễn văn cừ - long biên chỉ từ 650 triệu full nội thất,"Nguyễn Văn Cừ, Quận Long Biên, Hà Nội",42,650,,,,,,,,3937981
"Chuyên bán căn hộ richstar 2pn giá 2tỷ450, 3pn 3tỷ4","Căn hộ Richstar Tân Phú, Phường Hiệp Tân, Quận Tân Phú, TP HCM",65,2910.0,2,2,,,,,1,3948996
"Căn hộ richstar có hđmb dt 65m2 giá 2,750 tỷ - 3pn - 3,230 tỷ - lh ngay","Căn hộ Richstar Tân Phú, Phường Hiệp Tân, Quận Tân Phú, TP HCM",65,2750.0,2,2,,,,,1,3949006
"Chính chủ gửi cần bán gấp dt 60m2, giá 1,7 tỷ full thuế phí, lh 0902 676 929","Căn hộ CTL Tower, Quận 12, TP HCM",60,1700.0,2,2,,,,,,3783170
"Cần bán căn hộ dt 73 m2 giá 2,050 full nội thất","Moscow Tower, Quận 12, TP HCM",73,2000.0,2,2,,,,,,3779662
Chính chủ bán suất ngoại giao chung cư bid residence kdt mới văn khê mặt đường,"Chung cư BID Residence, Phường La Khê, Quận Hà Đông, Hà Nội",88,2200.0,2,2,50,,,,1,3957696
Bán siêu phẩm võng thị-trích sài ở pull đồ ở ngay,"Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",48,520,2,1,,Đông bắc,,,,3957690
Bán căn hộ conic riverside q8 2pn 1wc chỉ còn 1.98 tỷ,"TẠ QUANG BỬU, Phường 7, Quận 8, TP HCM",65,1980.0,2,1,,Đông bắc,,,,3948742
"Chỉ 3.8 tỷ sở hữu ngay penhouse đẳng cấp conic riverside, view đắt giá, dt 140m2","TẠ QUANG BỬU, Phường 7, Quận 8, TP HCM",140,3800.0,3,2,,,,,,3948744
"Bán gấp cc conic riverside q8 2pn 2wc, view quận 1","TẠ QUANG BỬU, Phường 7, Quận 8, TP HCM",67,138.02,2,2,,Tây bắc,,,,3948763
Nhanh tay để được sở hữu 10 căn hộ 2pn cuối cùng phương đông greenhome,"Phường Đức Giang, Quận Long Biên, Hà Nội",71.6,2200.0,2,2,,Tây Nam,,,,3957687
